id,fecha,ubicacion,aerolinea,ruta,tipo,total_abordo,fallecidos,fallecidos_en_tierra,anio
2432,1969-09-12,"Near Antipolo, Philippines",Philippine Air Lines,Mactan - Manilla,BAC One-Eleven 402AP,47,45,0,1969
2433,1969-09-14,"Londrina-Parana, Brazil",VASP,Camp Grande - Londrina - Sao Palo,Douglas DC-3,21,20,0,1969
2434,1969-09-17,"Campbell River, Canada",Pacific Western Airlines,Vancouver - Campbell River,Convair CV-640,15,4,0,1969
2435,1969-09-20,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),Pleiku - Da Nang,Douglas DC-4 / USAF F-4E,76,74,2,1969
2436,1969-09-21,"Mexico City, Mexico",Mexicana,Chicago - Mexico City,Boeing B-727-64,118,27,0,1969
2437,1969-09-26,"Near La Paz, Bolivia",Lloyd Aereo Boliviano,Santa Cruz - La Paz,Douglas DC-6B,74,74,0,1969
2438,1969-09-26,"Uli, Nigeria",Nordchurchaid,São Tomé - Uli,Boeing C-97,5,5,0,1969
2439,1969-10-02,Gulf of Tonkin,Military - U.S. Navy,Subi Point - USS Constellation,Grumman C-2A,26,26,0,1969
2440,1969-10-13,"Nizhnevartovsk, Russia",Aeroflot,Surgut - Nizhnevartovsk,Antonov An-24B,56,24,0,1969
2441,1969-11-09,"Timmins, Ontario ,Canada",Austin Airways,Winisk - Timmins,Douglas C-47B,4,2,0,1969
2442,1969-11-13,"Near Anderma, Russia",Aeroflot,Amderma - Moscow,Antonov An-12TB,12,12,0,1969
2443,1969-11-19,"Mt. Pilot Knob, Glens Falls, New York",Mohawk Airlines,Albany - Glenn Falls,Fairchild-Hiller FH-227B,14,14,0,1969
2444,1969-11-20,"Near Ikeja, Nigeria",Nigeria Airways,Kano - Lagos,BAC VC-10-1101,87,87,0,1969
2445,1969-12-03,"Off Caracas, Venezuela",Air France,"Caracas - Pointe a Pitre, Guadeloupe",Boeing B-707-328B,62,62,0,1969
2446,1969-12-05,"Nnear Albuquerque, New Mexico",Private,sin informacion,Lockheed 18-08 Lodestar,9,9,0,1969
2447,1969-12-06,"Near Khantanga, Russia",Aeroflot,Syktyvkar - Khatanga,Antonov An-12PL,8,8,0,1969
2448,1969-12-08,"Near Keratea, Greece",Olympic Airways,Chania - Athens,Douglas DC-6B,90,90,0,1969
2449,1969-12-10,"Off Makhachkala , Russia",Aeroflot,Makhachkala - Astrakhan,Ilyushin 14P,17,17,0,1969
2450,1969-12-22,"Nha Trang, Vietnam",Air Vietnam (South Vietnam),Saigon - Nha Trang,Douglas DC-6B,77,10,24,1969
2451,1969-12-23,"Near Luang Prabang, Laos",Laos Air,Vientiane - Luang Prabang,Douglas C-47A-25-DK,6,6,0,1969
2452,1970-01-05,"Stockholm, Sweden",Spantax,Stockholm - Zurich,Convair CV-990-30A-5,10,5,0,1970
2453,1970-01-12,Near Villia Greece,Military - Royal Hellenic Air Force,Military exercise,Douglas C-47,27,23,0,1970
2454,1970-01-13,"Faleolo, Western Samoa",Polynesian Airlines,"Apia, Western Samoa - Pago Pago, American Samoa",Douglas DC-3,32,32,0,1970
2455,1970-01-14,"Mt. Pumacona, Peru",Faucett,Trujillo - Juanjui,Douglas DC-4,28,28,0,1970
2456,1970-01-25,"Near Delhi, India",Royal Nepal Airlines,Kathmandu - Delhi,Fokker F-27 Friendship 200,23,1,0,1970
2457,1970-01-25,"Near Poza Rica, Mexico",Charter -Federal Electricity Commission,Mexico City - Poza Rica,Convair CV-240-2,19,18,0,1970
2458,1970-01-28,"Near Batagai, Russia",Aeroflot,Chokurdakh - Batagay,Antonov AN-24,34,34,0,1970
2459,1970-01-28,"Cleveland, Ohio",TAG Airlines,Cleveland - Detroit,De Havilland Dove,9,9,0,1970
2460,1970-01-29,"Near Murmansk, Russia",Aeroflot,Leningrad - Murmansk,Tupolev TU-124,11,11,0,1970
2461,1970-02-04,"Apuseni mountains, Romania",Tarom,Bucharest - Oradea,Antonov AN-24V,22,21,0,1970
2462,1970-02-04,"Near Corrientes, Argentina",Aerolineas Argentinas,Corrientes - Rosario,Hawker Siddeley HS-748 1,37,37,0,1970
2463,1970-02-06,"Near Samarkand, USSR",Aeroflot,Tashkent - Samarkand,Ilyushin IL-18V,106,92,0,1970
2464,1970-02-10,"Long Island Sound, Connecticut",Pilgrim Airlines,"Groton, CT - New York, NY",de Havilland Canada DHC-6 Twin Otter 100,5,5,0,1970
2465,1970-02-12,"Puerto Infrida, Colombia",Lineas Aéreas La Urraca,Villavicencio - Puerto Inírida,Douglas DC-3 (C-47-DL),12,12,2,1970
2466,1970-02-15,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,Santo Domingo - San Juan,McDonnell Douglas DC-9-32,102,102,0,1970
2467,1970-02-19,Congo,Air Congo,sin informacion,Douglas DC-3,17,17,0,1970
2468,1970-02-21,"Zurich, Switzerland",Swissair,Zurich - Tel Aviv,Convair CV-990-30A-6,47,47,0,1970
2469,1970-03-06,"St. Moritz, Switzerland",Bavaria Flug,Munchen - St. Moritz,Handley Page Jetstream 1,11,11,0,1970
2470,1970-03-14,"Belem Bay, Brazil",Paraense Transportes Aereos,Reclife - Belem,Fairchild-Hiller FH-227B,40,38,0,1970
2471,1970-03-16,"Near Da Nang, South Vietnam",Military - U.S. Navy,Taiwan - Da Nang,Lockheed EC-121P,31,23,0,1970
2472,1970-03-26,"Colorado City, Arizona",Grand Canyon Airlines,Grand Canyon - Las Vegas,Piper PA-32,6,6,0,1970
2473,1970-04-01,"Novosibirsk, Russia",Aeroflot,Krasnoyarsk - Novosibirs,Antonov AN-24V,45,45,0,1970
2474,1970-04-01,"Casablanca, Morocco",Royal Air Maroc,Agadir - Casablanca,Aerospatiale Caravelle 3,82,61,0,1970
2475,1970-04-04,"Zaporozhye, Ukraine",Aeroflot,Rostov - Zaporozhye,Ilyushin IL-14P,35,7,0,1970
2476,1970-04-21,"Manila, Philippines",Philippine Air Lines,Cuayan - Manila,Hawker Siddeley HS-748-209,36,36,0,1970
2477,1970-04-25,"Rivolto, Italy",Military - Italian Air Force,Rivolto - Grazzanise,Fairchild C-119G,19,17,0,1970
2478,1970-04-28,"Kainatu,  New Guinea",Trans Australia Airlines,Mount Hagen - Goroka - Kainantu,de Havilland Canada DHC-6 Twin Otter 100,11,8,0,1970
2479,1970-05-02,"Near St. Croix, US Virgin Islands",Antillean Airlines,New York City - St. Maarten,McDonnell Douglas DC-9-33CF,63,23,0,1970
2480,1970-05-04,"Hamilton AFB, California",Military - U.S. Air Force,Hamilton - Spokane,Convair CV-240,14,13,0,1970
2481,1970-05-06,"Mogadishu, Somalia",Somali Airlines,sin informacion,Vickers 785D Viscount,30,5,0,1970
2482,1970-05-09,"Iligan, Philippines",Philippine Air Lines,Iligan - Manila,Fokker F-27 Friendship 100,33,1,0,1970
2483,1970-05-09,"Pellston, Michigan",Executive Jet Sales Inc.,Detroit - Pellston,Gates Learjet 23,6,6,0,1970
2484,1970-05-15,"Kishiniev, Moldavia, USSR",Aeroflot,Training,Antonov AN-10,11,11,0,1970
2485,1970-05-26,"Near Tegucigalpa, Honduras",Aeroservicios,sin informacion,de Havilland DH-114 Heron 1B,6,6,0,1970
2486,1970-05-30,"Chamblee, Georgia",Lehigh Acres Development Inc.,"Chamblee, GA - Fort Myers,FL",Martin 404,33,1,5,1970
2487,1970-06-01,"Tripoli, Libya",Ceskoslovenske Aerolinie,Prague - Tripoli,Tupolev TU-104A,13,13,0,1970
2488,1970-06-02,"Roxas, Philippines",Philippine Air Lines,Manila - Bacolod,Fokker F-27 Friendship 100,44,1,0,1970
2489,1970-06-10,"Near Huaricanga, Peru",Military - LADE,Quito - Lima - Salta - Buenos Aires,Fokker F-27 Friendship 400M,8,5,0,1970
2490,1970-07-03,"McGrath, Alakska",Reeder Flying Service,"McGrath AK - Galena, AK",Douglas DC-3,27,5,0,1970
2491,1970-07-03,"Near Arbucias, Gerona, Spain",Dan Air Services,Manchester - Barcelona,de Havilland Comet 4,112,112,0,1970
2492,1970-07-05,"Toronto, Canada",Air Canada,Montreal - Toronto - Los Angeles,McDonnell Douglas DC-8-63,109,109,0,1970
2493,1970-07-18,North Atlantic Ocean,Military - Soviet Air Force,Reykjavik - Halifax - Sidney,Antonov AN-22,23,23,0,1970
2494,1970-07-27,"Tokyo, Japan",Flying Tiger Line,Tokyo - Okinawa,McDonnell Douglas DC-8-63AF,4,4,0,1970
2495,1970-08-03,"Near Las Vegas, Nevada",Military - United States Navy,Nellis - North Island - Barbers Point,Lockheed P-3A Orion,10,10,0,1970
2496,1970-08-06,"Islamabad, Pakistan",Pakistan International Airlines,Rawalpindi - Lahore,Fokker F-27 Friendship 200,30,30,0,1970
2497,1970-08-09,"Near Cuzco, Peru",Lineas Aereas Nacionales SA (Peru),Cuzco - Lima,Lockheed 188A Electra,100,99,2,1970
2498,1970-08-12,"Taipei, Taiwan",China Airlines (Taiwan),Hwa-Lien,NAMC YS-11A-219,31,14,0,1970
